2,Creatinine Clearance,https://www.omnicalculator.com/health/crcl
3,CKD-EPI,
4,Cha2dvasc Score,https://www.omnicalculator.com/health/cha2ds2-vasc
5,Mean Arterial Pressure,https://www.omnicalculator.com/health/mean-arterial-pressure
6,BMI,https://www.omnicalculator.com/health/bmi
7,Corrected Calcium,https://www.omnicalculator.com/health/corrected-calcium
8,Wells PE,https://www.omnicalculator.com/health/wells-pe
9,MDRD GFR,https://www.omnicalculator.com/health/glomerular-filtration-rate
10,Ideal Body Weight,https://www.omnicalculator.com/health/ideal-weight
11,Qtc Bazzett,https://www.omnicalculator.com/health/qtc#bazetts-formula
13,EDD,https://www.omnicalculator.com/health/pregnancy-due-date
15,Child Pugh,https://www.omnicalculator.com/health/child-pugh
16,Wells DVT,
17,Revised Cardiac Risk Index,https://www.omnicalculator.com/health/rcri
18,HEART Score,https://www.omnicalculator.com/health/heart-score
19,Fib-4,https://www.omnicalculator.com/health/fib-4
20,Centor Socre,https://www.omnicalculator.com/health/centor
21,Glasgow Coma Score,https://www.omnicalculator.com/health/gcs
22,Maintenance Fluid,https://www.omnicalculator.com/health/maintenance-fluids-children
23,Meld Na,
24,Steroid Conversion,
25,HAS-BLED,https://www.omnicalculator.com/health/has-bled
26,Sodium Correction,
27,Glasgow Blatchford Score,
28,APACHE II,https://www.omnicalculator.com/health/apache-ii
29,PSI,https://www.omnicalculator.com/health/psi
30,Serum Osmolarity,https://www.omnicalculator.com/health/serum-osmolality
31,HOMA-IR,https://www.omnicalculator.com/health/homa-ir
32,CCI,https://www.omnicalculator.com/health/cci
33,FeverPAIN,
36,Caprini,
38,Free Water Deficit,https://www.omnicalculator.com/health/water-deficit
39,Anion Gap,https://www.omnicalculator.com/health/anion-gap
40,Fena,https://www.omnicalculator.com/health/fena
43,SOFA,https://www.omnicalculator.com/health/sofa-score
44,LDL Calculator,https://www.omnicalculator.com/health/ldl
45,Curb-65,https://www.omnicalculator.com/health/curb
46,Framingham Risk Score,https://www.omnicalculator.com/health/framingham-risk
48,PERC Rule,https://www.omnicalculator.com/health/perc
49,MME Conversion,
51,SIRS Criteria,
56,QTc Fridericia Calculator,
57,QTc Framingham Calculator,
58,QTc Hodges Calculator,
59,QTc Rautaharju Calculator,
60,Body Surface Area,
61,Target Weight,
62,Adjusted Body Weight,https://www.omnicalculator.com/health/adjusted-weight
63,Delta Gap,
64,Delta Ratio,
66,Albumin Corrected Anion Gap,
67,Albumin Corrected Delta Gap,
68,Albumin Corrected Delta Ratio,
69,Estimated Date of Conception,
69,Estimated Gestational Age,
